2016-07-21,FLIGHT,1
2016-07-22,FLIGHT,1
2016-07-24,FLIGHT,2
2016-07-25,FLIGHT,1
2016-07-26,FLIGHT,1
2016-07-27,FLIGHT,1
2016-07-28,FLIGHT,1
2016-07-29,HOTEL,1
2016-07-30,HOTEL,1
2016-07-31,FLIGHT,2
2016-08-01,FLIGHT,1
2016-08-02,FLIGHT,2
2016-08-02,HOTEL,2
2016-08-03,FLIGHT,1
2016-08-03,HOTEL,1
2016-08-04,FLIGHT,3
2016-08-05,HOTEL,1
2016-08-06,FLIGHT,1
2016-08-06,HOTEL,1
2016-08-09,FLIGHT,3
2016-08-10,FLIGHT,2
2016-08-13,FLIGHT,1
2016-08-15,FLIGHT,3
2016-08-17,FLIGHT,1
2016-08-20,FLIGHT,1
2016-08-23,FLIGHT,1
2016-08-23,HOTEL,1
2016-08-24,FLIGHT,2
2016-08-25,FLIGHT,3
2016-08-26,FLIGHT,1
2016-08-26,HOTEL,1
2016-08-28,FLIGHT,1
2016-08-30,FLIGHT,1
2016-09-01,FLIGHT,1
2016-09-02,FLIGHT,1
2016-09-03,FLIGHT,1
2016-09-04,FLIGHT,2
2016-09-05,FLIGHT,2
2016-09-06,FLIGHT,2
2016-09-07,FLIGHT,1
2016-09-08,FLIGHT,2
2016-09-09,FLIGHT,1
2016-09-09,HOTEL,1
2016-09-10,FLIGHT,2
2016-09-11,FLIGHT,1
2016-09-12,FLIGHT,2
2016-09-13,FLIGHT,1
2016-09-15,FLIGHT,2
2016-09-16,FLIGHT,1
2016-09-17,FLIGHT,3
2016-09-18,FLIGHT,2
2016-09-19,FLIGHT,1
2016-09-19,HOTEL,1
2016-09-22,FLIGHT,2
2016-09-22,HOTEL,1
2016-09-23,FLIGHT,2
2016-09-24,FLIGHT,1
2016-09-25,FLIGHT,3
2016-09-26,FLIGHT,2
2016-09-27,FLIGHT,2
2016-09-28,FLIGHT,2
2016-09-28,HOTEL,1
2016-09-29,FLIGHT,1
2016-09-30,FLIGHT,1
2016-09-30,HOTEL,1
2016-10-03,FLIGHT,1
2016-10-05,FLIGHT,4
2016-10-06,FLIGHT,5
2016-10-06,HOTEL,1
2016-10-07,FLIGHT,5
2016-10-08,FLIGHT,3
2016-10-09,FLIGHT,1
2016-10-11,FLIGHT,2
2016-10-12,FLIGHT,3
2016-10-13,FLIGHT,3
2016-10-14,FLIGHT,1
2016-10-16,FLIGHT,2
2016-10-16,HOTEL,1
2016-10-17,FLIGHT,2
2016-10-18,FLIGHT,1
2016-10-19,FLIGHT,3
2016-10-21,FLIGHT,4
2016-10-22,FLIGHT,1
2016-10-23,FLIGHT,1
2016-10-25,FLIGHT,1
2016-10-26,FLIGHT,1
2016-10-27,FLIGHT,2
2016-10-27,HOTEL,1
2016-10-28,FLIGHT,4
2016-10-29,HOTEL,1
2016-10-30,FLIGHT,1
2016-10-31,FLIGHT,3
2016-11-01,FLIGHT,2
2016-11-02,FLIGHT,1
2016-11-04,FLIGHT,1
2016-11-05,FLIGHT,1
2016-11-05,HOTEL,1
2016-11-06,FLIGHT,1
2016-11-06,HOTEL,2
2016-11-07,FLIGHT,2
2016-11-09,FLIGHT,1
2016-11-10,FLIGHT,2
2016-11-12,FLIGHT,1
2016-11-14,FLIGHT,2
2016-11-17,FLIGHT,1
2016-11-18,FLIGHT,4
2016-11-19,FLIGHT,1
2016-11-20,FLIGHT,2
2016-11-21,FLIGHT,1
2016-11-22,FLIGHT,1
2016-11-23,FLIGHT,4
2016-11-24,FLIGHT,1
2016-11-26,FLIGHT,2
2016-11-27,FLIGHT,1
2016-11-28,FLIGHT,1
2016-11-29,FLIGHT,2
2016-11-30,FLIGHT,3
2016-12-01,FLIGHT,2
2016-12-01,HOTEL,1
2016-12-02,FLIGHT,2
2016-12-03,FLIGHT,1
2016-12-04,FLIGHT,1
2016-12-05,FLIGHT,1
2016-12-06,FLIGHT,1
2016-12-06,HOTEL,1
2016-12-07,FLIGHT,2
2016-12-09,FLIGHT,3
2016-12-09,HOTEL,1
2016-12-10,FLIGHT,2
2016-12-10,HOTEL,1
2016-12-12,FLIGHT,2
2016-12-13,FLIGHT,4
2016-12-14,FLIGHT,3
2016-12-14,HOTEL,1
2016-12-15,FLIGHT,3
2016-12-17,FLIGHT,2
2016-12-18,FLIGHT,3
2016-12-19,FLIGHT,1
2016-12-19,HOTEL,2
2016-12-20,FLIGHT,2
2016-12-22,FLIGHT,2
2016-12-23,FLIGHT,2
2016-12-24,FLIGHT,2
2016-12-25,FLIGHT,1
2016-12-26,FLIGHT,3
2016-12-27,FLIGHT,2
2016-12-27,HOTEL,1
2016-12-28,FLIGHT,1
2016-12-28,HOTEL,1
2016-12-29,FLIGHT,3
2016-12-31,FLIGHT,2
2017-01-01,FLIGHT,1
2017-01-02,FLIGHT,2
2017-01-02,HOTEL,1
2017-01-03,FLIGHT,2
2017-01-03,HOTEL,1
2017-01-04,FLIGHT,1
2017-01-05,FLIGHT,2
2017-01-06,FLIGHT,1
2017-01-07,FLIGHT,2
2017-01-07,HOTEL,1
2017-01-08,FLIGHT,1
2017-01-09,FLIGHT,1
2017-01-10,FLIGHT,1
2017-01-11,FLIGHT,1
2017-01-12,HOTEL,1
2017-01-13,FLIGHT,3
2017-01-14,FLIGHT,2
2017-01-14,HOTEL,1
2017-01-15,FLIGHT,1
2017-01-16,FLIGHT,1
2017-01-16,HOTEL,1
2017-01-17,FLIGHT,4
2017-01-18,FLIGHT,1
2017-01-19,FLIGHT,1
2017-01-19,HOTEL,1
2017-01-20,FLIGHT,3
2017-01-20,HOTEL,1
2017-01-22,FLIGHT,2
2017-01-23,FLIGHT,3
2017-01-24,FLIGHT,1
2017-01-24,HOTEL,1
2017-01-25,FLIGHT,1
2017-01-26,FLIGHT,1
2017-01-26,HOTEL,1
2017-01-27,FLIGHT,3
2017-01-28,FLIGHT,2
2017-01-29,FLIGHT,2
2017-01-31,HOTEL,1
2017-02-01,FLIGHT,3
2017-02-02,FLIGHT,1
2017-02-03,FLIGHT,2
2017-02-04,FLIGHT,3
2017-02-05,FLIGHT,3
2017-02-06,FLIGHT,2
2017-02-07,FLIGHT,3
2017-02-07,HOTEL,1
2017-02-08,FLIGHT,4
2017-02-09,FLIGHT,2
2017-02-10,FLIGHT,1
2017-02-11,FLIGHT,3
2017-02-11,HOTEL,1
2017-02-12,HOTEL,1
2017-02-13,FLIGHT,1
2017-02-14,FLIGHT,1
2017-02-15,FLIGHT,2
2017-02-16,FLIGHT,3
2017-02-16,HOTEL,1
2017-02-17,HOTEL,1
2017-02-18,FLIGHT,1
2017-02-18,HOTEL,1
2017-02-19,FLIGHT,2
2017-02-19,HOTEL,1
2017-02-20,FLIGHT,3
2017-02-20,HOTEL,1
2017-02-21,FLIGHT,3
2017-02-22,FLIGHT,1
2017-02-23,FLIGHT,2
2017-02-24,FLIGHT,3
2017-02-25,FLIGHT,1
2017-02-26,FLIGHT,4
2017-02-27,FLIGHT,5
2017-02-28,FLIGHT,3
2017-03-01,FLIGHT,1
2017-03-02,FLIGHT,4
2017-03-03,FLIGHT,5
2017-03-03,HOTEL,2
2017-03-04,FLIGHT,6
2017-03-04,HOTEL,1
2017-03-06,FLIGHT,2
2017-03-07,FLIGHT,3
2017-03-08,FLIGHT,3
2017-03-09,FLIGHT,4
2017-03-10,FLIGHT,4
2017-03-11,FLIGHT,2
2017-03-12,FLIGHT,4
2017-03-13,FLIGHT,5
2017-03-13,HOTEL,1
2017-03-14,FLIGHT,4
2017-03-15,FLIGHT,4
2017-03-16,FLIGHT,4
2017-03-16,HOTEL,2
2017-03-16,TRAIN,1
